employeeId	exists_in_db
24525131	No
24526449	No
04702561	No
04733475	No
24517879	No
24517864	No
06680064	No
08520608	No
24517926	No
24517950	No
05638448	No
06680053	No
08532034	No
04676908	No
08614946	No
07669332	No
24520431	No
06679976	No
05639054	No
09522971	No
08516167	No
08521282	No
09500945	No
08500609	No
08500604	No
08583571	No
24517913	No
08656299	No
08676731	No
08552849	No
24517904	No
24516445	No
24520318	No
24523112	No
04728045	No
05519573	No
03652797	No
04707953	No
07620317	No
07668748	No
09531147	No
08522930	No
24517971	No
08612279	No
07559231	No
08536525	No
24519705	No
03652628	No
08500587	No
08524850	No
06651383	No
07823349	No
09527700	No
24517947	No
24517870	No
08524853	No
07664702	No
24517871	No
24517972	No
03645463	No
05729577	No
09521578	No
09534968	No
07702514	No
25502527	No
17043640	No
96798526	No
10192253	No
04734387	No
05557960	No
04728181	No
05630308	No
07531886	No
25502130	No
25502129	No
25502218	No
24517931	No
06747020	No
08524839	No
08717962	No
08530205	No
05599111	No
08755780	No
07670282	No
09538683	No
06680075	No
04718687	No
07823350	No
07798370	No
08557515	No
08500611	No
24517844	No
24517829	No
07622595	No
08524241	No
09527654	No
05557971	No
24517711	No
24517877	No
24507647	No
24515759	No
09502419	No
24517909	No
24515437	No
24518231	No
24517856	No
24517868	No
06680019	No
06651394	No
06651430	No
08511481	No
09518061	No
08537686	No
06680020	No
07860244	No
03645452	No
05534565	No
08657656	No
07616797	No
24517828	No
24517944	No
07842673	No
08531542	No
24517606	No
25513777	No
25513832	No
25513843	No
25513840	No
25513841	No
25513842	No
25513844	No
25513850	No
25513795	No
25513797	No
25513798	No
25513799	No
25513801	No
25513816	No
25513810	No
25513775	No
25513791	No
25513789	No
25513779	No
25513781	No
25513784	No
25513787	No
25513790	No
25513783	No
25513847	No
25513848	No
25513786	No
25513793	No
25513785	No
25513788	No
25513830	No
25513846	No
25513831	No
25513835	No
25513833	No
25513838	No
25513837	No
25513839	No
25513802	No
25513803	No
25508467	No
25513807	No
25513808	No
25513811	No
25513817	No
25513814	No
25513815	No
25513818	No
25513819	No
25513823	No
25513824	No
25513828	No
25513825	No
25513827	No
25513826	No
24515758	No
24517607	No
25514426	No
90003365	No
25513809	No
25513806	No
25513820	No
25513821	No
25513822	No
25513792	No
25513794	No
25513800	No
09536852	No
04734876	No
06680097	No
08552838	No
24517951	No
08612280	No
24517898	No
24517886	No
07685269	No
99999993	No
25515773	No
97183783	No
24510768	No
24514587	No
24515352	No
24516453	No
24516501	No
24516506	No
24517609	No
24520277	No
24520432	No
24520468	No
24520469	No
